Timestamp,accx,accy,accz
2022-12-15 11:06:48.280,10.03,-0.45,0.12
2022-12-15 11:06:49.280,10.05,-0.50,0.34
2022-12-15 11:06:50.280,10.05,-0.49,0.49
2022-12-15 11:06:51.295,9.99,-0.52,0.29
2022-12-15 11:06:52.295,9.98,-0.49,0.35
2022-12-15 11:06:53.295,9.97,-0.46,0.49
2022-12-15 11:06:54.311,9.96,-0.53,0.65
2022-12-15 11:06:55.310,9.99,-0.50,0.83
2022-12-15 11:06:56.310,10.03,-0.53,1.02
2022-12-15 11:06:57.310,10.00,-0.47,0.70
2022-12-15 11:06:58.326,9.95,-0.55,0.95
2022-12-15 11:06:59.326,9.98,-0.51,0.90
2022-12-15 11:07:00.326,9.93,-0.47,1.03
2022-12-15 11:07:01.341,9.96,-0.57,1.08
2022-12-15 11:07:02.341,9.97,-0.51,0.95
2022-12-15 11:07:03.341,9.91,-0.54,1.03
2022-12-15 11:07:04.341,9.95,-0.51,1.09
2022-12-15 11:07:05.356,9.99,-0.51,1.09
2022-12-15 11:07:06.356,9.99,-0.55,1.14
2022-12-15 11:07:07.356,9.97,-0.51,1.14
2022-12-15 11:07:08.356,9.99,-0.49,1.02
2022-12-15 11:07:09.371,10.01,-0.53,1.00
2022-12-15 11:07:10.371,9.97,-0.51,0.55
2022-12-15 11:07:11.371,9.97,-0.48,0.59
2022-12-15 11:07:12.387,9.98,-0.51,0.69
2022-12-15 11:07:13.387,9.98,-0.53,0.47
2022-12-15 11:07:14.387,10.00,-0.50,0.45
2022-12-15 11:07:15.386,10.09,-0.50,0.49
2022-12-15 11:07:16.402,10.02,-0.46,0.48
2022-12-15 11:07:17.402,10.05,-0.50,0.36
2022-12-15 11:07:18.402,10.03,-0.48,0.04
2022-12-15 11:07:19.402,9.99,-0.55,0.28
2022-12-15 11:07:20.417,10.03,-0.50,0.07
2022-12-15 11:07:21.417,10.04,-0.49,0.09
2022-12-15 11:07:22.417,10.04,-0.52,0.29
2022-12-15 11:07:23.432,10.01,-0.46,0.20
2022-12-15 11:07:24.432,10.03,-0.52,0.37
2022-12-15 11:07:25.432,10.05,-0.48,0.26
2022-12-15 11:07:26.432,9.96,-0.51,0.45
2022-12-15 11:07:27.448,9.99,-0.52,0.61
2022-12-15 11:07:28.448,9.98,-0.47,0.52
2022-12-15 11:07:29.447,9.93,-0.52,0.62
2022-12-15 11:07:30.463,9.99,-0.48,0.71
2022-12-15 11:07:31.463,9.98,-0.52,0.83
2022-12-15 11:07:32.463,9.96,-0.51,1.06
2022-12-15 11:07:33.463,10.00,-0.48,1.15
2022-12-15 11:07:34.478,9.98,-0.54,0.99
2022-12-15 11:07:35.478,9.99,-0.48,0.90
2022-12-15 11:07:36.478,9.99,-0.77,-2.29
2022-12-15 11:07:37.478,9.72,-0.58,-0.91
2022-12-15 11:07:38.493,10.09,-0.33,2.63
2022-12-15 11:07:39.493,9.82,-0.50,-1.41
2022-12-15 11:07:40.493,10.14,-0.51,2.81
2022-12-15 11:07:41.509,9.46,-0.81,-0.48
2022-12-15 11:07:42.508,9.88,-0.51,3.15
2022-12-15 11:07:43.508,10.03,-0.20,2.83
2022-12-15 11:07:44.508,10.06,-0.39,-0.31
2022-12-15 11:07:45.524,10.36,-0.36,-1.02
2022-12-15 11:07:46.524,9.99,-0.46,5.22
2022-12-15 11:07:47.524,9.79,-0.44,-1.97
2022-12-15 11:07:48.523,10.37,-0.77,0.45
2022-12-15 11:07:49.539,9.80,-0.54,2.39
2022-12-15 11:07:50.539,10.28,-0.73,-1.58
2022-12-15 11:07:51.539,10.13,-0.58,-2.02
2022-12-15 11:07:52.554,10.15,-0.20,1.98
2022-12-15 11:07:53.554,9.96,-0.52,0.78
2022-12-15 11:07:54.554,9.92,-0.60,1.19
2022-12-15 11:07:55.554,9.81,-0.55,3.17
2022-12-15 11:07:56.570,9.99,-0.84,2.11
2022-12-15 11:07:57.569,9.74,-0.65,-0.75
2022-12-15 11:07:58.569,9.80,-0.66,-0.52
2022-12-15 11:07:59.585,9.51,-0.63,-1.45
2022-12-15 11:08:00.585,9.94,-0.68,-3.65
2022-12-15 11:08:01.585,9.84,-0.32,-1.18
2022-12-15 11:08:02.585,10.17,-0.31,-0.07
2022-12-15 11:08:03.600,9.85,-0.76,0.34
2022-12-15 11:08:04.600,10.45,-0.02,2.76
2022-12-15 11:08:05.600,9.89,-0.56,-1.52
2022-12-15 11:08:06.608,10.11,-0.28,2.25
2022-12-15 11:08:07.608,9.98,-0.55,0.71
2022-12-15 11:08:08.609,10.04,-0.41,2.31
2022-12-15 11:08:09.624,9.97,-0.54,-0.23
2022-12-15 11:08:10.624,10.04,-0.50,2.66
2022-12-15 11:08:11.624,9.98,-0.45,3.85
2022-12-15 11:08:12.625,9.89,-0.55,0.61
